mass,max_acceleration,yaw_inertia,length,max_steering_stiffness_front,max_steering_stiffness_rear,tyre_friction,cd,cross_sectional_area,opt_steer_kp,opt_steer_ki,opt_steer_kd,opt_speed_kp,opt_speed_ki,opt_speed_kd,best_speed_error,best_heading_error
1383.0,6.7834228111545,3231.0,2.5842367686097,77236.3270812595,56244.9404147873,1.32974020971332,0.34202449376353900,2.4433036101103,428.691229306523,29.465672021865,23.268400822787500,48.9356467669987,1418.4468180367700,0.15727980642512200,37.6954310043538,4.50177652664148
4451.0,6.0240058487279,21645.0,4.06617661360947,206858.564554856,141014.735587709,1.34631412600423,0.22383707357030500,3.47117409421972,332.540769984644,24.1990233277871,17.365727627175600,35.576996908671500,1461.8884045960000,0.256833308861144,42.3011029886068,4.50795749132324
3854.0,8.33122354322754,7390.0,2.96793346589463,256950.38855259,184500.75367570300,0.804402889978406,0.34365622701512100,2.26424026117348,611.572318110557,37.3094452819347,11.0606265052756,22.394046292033,1384.76523174043,0.46268778947487200,42.734866184065300,4.51043737698675
3897.0,1.54161396126989,4892.0,2.4766907828656,166374.841907386,108922.78366109700,1.39901520352166,0.426303352359419,3.03027503422935,694.624716723747,42.4237361435706,47.850487803614,33.117058785417,1471.85540281643,0.36884857820437900,361.422528561681,5.26639383346695
1533.0,1.22359491951807,10498.0,4.5676593905403,60448.414648156100,76614.9022945872,1.02189594326024,0.193380202883038,1.61194563508314,209.633183314367,55.654328730245,31.7538023298453,33.5943173515316,1399.9484988725700,0.29813456622906400,510.646481495979,9.83407249210842
3764.0,1.12924065628594,17615.0,4.61226811844793,160086.25428214900,200951.91575013300,1.14931923901482,0.43830469007209600,3.44355648104184,985.571390182942,45.2279915679671,45.0802781509407,54.1255058059683,1214.75387507891,0.228455210024216,557.312568772015,15.2808778146379
3949.0,6.62121851770669,7973.0,2.60355378034684,146335.865935984,151392.275403379,1.10808320112868,0.25142535162149500,2.19566925289916,533.845343795951,37.0344219072596,14.6079160204918,19.5427378153972,1035.40335804999,0.40576269891654400,51.4442295428229,4.50689172976121
4071.0,8.83622287234438,21677.0,4.04490354126161,203422.83332934400,181312.60560971200,0.49044063106475400,0.21393677215495300,2.0037731035367,325.739227008282,21.7879888346182,23.6690962348292,27.8569844060954,1381.6976220024600,0.46783713100246600,67.2229430893948,4.4988700583691
4300.0,8.51287415950325,10768.0,2.98349084453827,167823.587285231,196902.444440669,0.935818937388296,0.43891709949795500,3.02831294153968,503.933641391827,33.7267904424468,15.7649627434061,18.420489667848800,1423.84749688983,0.36361623003769700,40.0864589491109,4.49945055878585
1296.0,6.00395876282976,2939.0,2.92299641903127,47535.3049650943,59153.7813266901,0.635175064136914,0.33832418906210000,2.94417260348058,529.220035821128,34.2669358236907,16.6361706035429,18.4331571066706,1455.8025239869900,0.227599984913143,64.8329506216308,4.51580277755787
933.0,5.43932958354175,3063.0,3.2878401148078400,50391.0845007771,32143.6556895942,0.8215459425991870,0.26346936123555800,2.85940745286865,409.784596312258,28.9433027019124,13.4150489880213,33.4559078392847,1398.60861765075,0.291782187193732,53.0338328717482,4.51328381956871
2832.0,6.84098664555421,10854.0,3.32168730746771,146114.868925726,105684.903309586,0.9886137290351630,0.313443213746594,2.72802633813487,352.741021190913,25.1714004380498,19.2937962487537,33.5117047652242,1443.46420694101,0.179435442716831,39.0455548482154,4.50174575555327
1963.0,7.7043443305236,9211.0,4.37719414209718,70651.5869102399,73412.0136671721,0.8435558111691660,0.22286698800404900,1.75853012356048,376.752614365708,25.7860602756075,17.3286141201604,20.7617558823424,1458.35757439597,0.36461272575102300,44.2269339023574,4.50472888639295
